sequence,num_points,bd_br_psnr,bd_psnr,bd_br_ssim,bd_ssim,avg_psnr_gain,avg_ssim_gain
Johnny_1280x720_60,40,-7.730672726747234,0.11711521618284368,-17.572536030526077,0.0009810518873994444,0.18135862797498703,0.0012778486125171185
bridge_far_cif,40,-2.800055653373079,0.016436213229567034,-7.778044754714286,0.0004566123399341361,0.04252641052007675,0.0006358287064358592
stefan_cif,40,1.1179242492741492,-0.13679019043740423,0.501479847450792,-0.0001299529637940711,-0.07435676828026772,0.00046057321596890686
students_qcif,40,-2.892237221606686,-0.02704495655100126,-9.62396606592767,0.0021874472713542424,0.06439708545804024,0.003879918740130961
tractor_1080p25,40,0.07897737060187371,-0.005408910818140038,-8.82200383300027,0.001350576450137013,-0.008060693740844727,0.0015479420544579625
