sequence,num_points,bd_br_psnr_Y,bd_psnr_Y,avg_psnr_gain_Y,bd_br_psnr_U,bd_psnr_U,avg_psnr_gain_U,bd_br_psnr_V,bd_psnr_V,avg_psnr_gain_V,bd_br_ssim_Y,bd_ssim_Y,bd_br_ssim_U,bd_ssim_U,bd_br_ssim_V,bd_ssim_V,bd_br_psnr_full,bd_psnr_full
Johnny_1280x720_60,40,-3.0572870830429477,0.10405695216603103,0.12386092990636825,-15.719492173341898,0.339055073286642,0.44586575627326963,-9.083385303011537,0.14881674132558653,0.24826671332120895,-4.4029371874705685,0.0009620689620021885,-40.114464505720534,0.0009671916139448859,-40.249470745686935,0.0011529302443514231,-5.222161500847966,0.1417191006757782
bridge_far_cif,40,-2.3678069875031404,0.036803347927553555,0.07007106989622117,0.9947917218825042,-0.003647545183218631,-0.0006757557392120361,4.184948315430614,-0.02729870177288994,-0.02125840336084366,-5.471634659493462,0.001263878844430257,-13.32497227686683,6.489556104218319e-05,-0.16275780638276283,1.8349693863645773e-05,-1.9719734228403452,0.016394484995872448
stefan_cif,40,-0.9783567638657953,0.05836030912115397,0.04629337191581726,7.127691738330122,-0.40241221762976814,-0.3706759110093117,1.2238397006123058,-0.11443893852689194,-0.1057296335697174,-4.092663303568889,0.0025639429911183394,3.3665863028274012,-0.0011954459832844812,3.4890137558749146,-0.0012078841488667848,0.4587895929588637,-0.07695234657916755
students_qcif,40,-1.0541186875566488,0.01297120151515521,0.03514055162668228,-2.4923391277956286,-0.06332490392255491,0.003461185097694397,-8.685622777298285,0.25962932440167596,0.2907592684030533,-3.20184193600338,0.002214558671171183,-8.169280078446594,0.0024921218938409053,-17.63756856236909,0.0034367588341729176,-2.4009910547493796,0.0375487670241937
tractor_1080p25,40,1.200911786536074,-0.008404302713148194,-0.04499695152044296,-0.4725554548214106,-0.04757176311610598,0.006472475826740265,-4.881859256508603,0.10261691641085141,0.13193156868219375,-2.087825838567048,0.0010164675874605746,-16.41097265378425,0.0019616091525406954,-10.296522691866606,0.0012720393243558401,0.054601388175079535,0.0010407080351725654
